,Id,pos_neg,pos_neg_2neu,new_stars,roberta_neg,roberta_neu,roberta_pos,rating,text
0,1,0.990572003647685,0.9782800944522023,5.0,0.0010940153,0.00723997,0.991666,5,This is great lowkey spot in Ktown. They have a great menu and the drink options are super affordable. They also had a really unique desert - soju infused bingsu which you have to try! Overall this is a great place to bring friends for a casual meal with a great atmosphere and amazing service.
1,2,0.2271471619606018,0.011569321155548096,3.8,0.22168794,0.32947686,0.4488351,5,The food was flavorful and the vibes was nice for a hangout with friends. We were one of the few people there tho so I’m not sure what it’s like if the place is busy. Loved the makgeolli drinks they had. One downside is the blender. It was the loudest blender we’ve ever heard of and it could easily disrupt any conversation you have if you sit near the bar.
2,3,0.9884217415237799,0.971387556171976,5.0,0.0010203685,0.009537461,0.9894421,5,Discovered Manhattan’s first soju smoothie with my husband! This place got this “you’re gonna leave here drunk” vibe with incredible hospitality and atmosphere. They got a fabulous blood sausage with rice cake and don’t forget their daily drink specials. Definitely a terrific experience luring you to come back.🥳
3,4,0.9910638025030494,0.9814055478200316,5.0,0.0013690302,0.0061981576,0.99243283,5,"As a Korean girl, I only came here because my friends wanted to come here. I usually don’t go to Korean places, but this place was actually pretty good! The tteokbuki was cooked right and they even gave us an extra one as service. In fact, they gave us like 2 rounds worth of drinks for 8 ppl as service! They had such a great time! Shout out to John for being so great! Thanks!"
4,5,0.9913143836893141,0.9807024006731808,5.0,0.0011265553,0.006432547,0.99244094,5,The alcoholic bingsoo a were great. Our favorite was the mango. We also ordered the soondae and tteokbokki were spicy and delicious. It was more than enough for a late night snack for 3 people. The atmosphere was great and the staff treated us very well even when we stayed past closing time. Will be back again.
5,6,0.9317820607684553,0.8305684090591967,4.8,0.0058703483,0.056477174,0.9376524,5,"If you're craving good Korean food without enduring absurdly long lines, Bangia is the ideal place to visit. While it is a bar/restaurant, I primarily went for the delicious food. During my recent visit, my partner and I ordered three dishes: Spicy Chicken Fried Rice, Spicy Squid & Pork Belly, and the Marinated Pork Feet. The Fried Rice was a delightful Korean classic that I highly recommend. Adding cheese for an extra $2 balances out the spice from the Kimchi and provides a nice kick and acidic flavor (would highly recommend). The perfectly cooked egg on top also adds a really nice richness to the dish, cutting it open and letting the yolk ooze made me immediately hungry. One thing I will say though, it was really difficult to find the chicken in this dish, perhaps it blended in, or they didn’t give a lot, but either way it was soooo good. The Spicy Squid & Pork Belly dish is perfect for those who enjoy heavy flavors. It offers a blend of garlic, onion, spiciness, and sweetness, complemented by a slight char from the hot plate. While there wasn't a lot of squid, the ample amount of Pork Belly made up for it. My favorite way to enjoy this was by placing it on top of a spoonful of fried rice for a timeless combo of rice and meat. Lastly, the pork feet, a dish worth trying even if you're not familiar with Asian foods. The texture is soft, reminiscent of the fatty part of bacon, with no distinct ""feet"" flavor but rather the taste of the marinated meat. Dipped in the provided ssamjang (sweet and salty fermented soybean sauce) and wrapped in lettuce, it becomes a delightful burst of fat, sweet, salty, and spicy flavors. Personally, I slightly prefer their Cold Pork Feet, as I enjoy the chewier and springier texture of the cold meat over the ""melt in your mouth"" feel of the warm meat. Overall, Bangia stands as a solid Korean restaurant, offering a great alternative to other places in K-town where waiting 1-2 hours is common. While the dishes average around $30 each, the generous portion sizes make it worth the money. I find that lots of places in K-town will cost about ~$30 an entree, but you don’t get a lot of food."
6,7,0.9825852441135794,0.9538961143698543,5.0,0.001023419,0.015367984,0.98360866,5,"Great gastropub type Korean spot out of the limelight of KTown’s Main Street. We got the bibimbap, galbi jim with bibim naengmyeon combo, and a bottle of soju. The bibimbap was fresh, classic, and a vote of confidence for how the rest of the food was going to taste. The galbi boiled in a sauce to reduce as we ate, and got more and more tender in the pot. The flavor was excellent, especially with some charred onions and peppers reducing in there too. The naengmyeon was also perfect, such traditional flavors coming through. The banchan was also some of the best I’ve had, with a delicious fresh scallion pancake repeatedly being replenished. Would definitely come back!"
7,8,0.2861260622739792,0.06793923676013947,3.9,0.2015935,0.31068692,0.48771957,3,"Very cozy and the service is great, I was a little disappointed in the food though"
8,9,0.9780077639734372,0.9426621195161715,4.9,0.0014397796,0.019112602,0.97944754,5,"Bangia is the ONLY restaurant in NYC serving alcoholic shaved ice drinks. You can choose between soju or makgeolli bingsul or their bingmac (binsul somaek), all of which are delicious. But not only are their drinks good, you’ll be blown away by their food options as well. Our group unanimously agreed that our favorite dish of the night were the tofu with kimchi and pork and the truffle oil potato pancake. But there wasn’t a single dish we disliked!"
9,10,0.9869998851791024,0.9732179073616862,5.0,0.0020363769,0.008927366,0.98903626,5,"We arrived 15 minutes after they opened and did not expect it to be so busy already! We didn't have a reservation, so we waited around 30 minutes. A big party canceled, so we got that table so it was spacious for a party of just two. I was surprised with the quality, and the portion is huge for the price! Other restaurants that sell the same price have way smaller portions. The makgeolli drinks were delicious!! It was so good. I had the makgeolli bingsu, and my fiance ordered the makgeolli cocktail, and they tasted so good! The food was also very yummy!!! I wish I had known about this restaurant earlier! Definitely coming back for more drinks!! and try the other foods. Also, I was surprised the seafood stew came with so much seafood and even crab!"
